v3.74	Dec 16 20:36:28 2019	 x0	1000	0.356	CYC:  0 (k=0)	RND:	a                       example sequence (  87 ch) REC:1000	 31	   0: N/A
v3.74	Dec 16 20:36:46 2019	 x0	1000	0.460	CYC:  0 (k=0)	RND:	i  waves/animals/shark_vnd_NEE_Dsech.txt (1002 bp) REC:1000	461	   1: bslip type 1
v3.74	Dec 16 20:36:47 2019	 x0	1000	0.458	CYC:  0 (k=0)	RND:	i  waves/animals/shark_vnd_NEE_Dsimu.txt (1007 bp) REC:1000	461	   1: bslip type 1
v3.74	Dec 16 20:36:48 2019	 x0	1000	0.435	CYC:  0 (k=0)	RND:	i  waves/animals/shark_vnd_NEE_Derec.txt (1005 bp) REC:1000	437	   1: bslip type 1
v3.74	Dec 16 20:36:49 2019	 x0	1000	0.427	CYC:  4 (k=3)	RND:	i  waves/animals/shark_vnd_NEE_Dsant.txt (1093 bp) REC:1000	467	   1: bslip type 1
v3.74	Dec 16 20:36:51 2019	 x0	1000	0.427	CYC:  0 (k=0)	RND:	i  waves/animals/shark_vnd_NEE_Dyaku.txt (1063 bp) REC:1000	454	   1: bslip type 1
v3.74	Dec 16 20:36:52 2019	 x0	1000	0.443	CYC:  0 (k=0)	RND:	i  waves/animals/shark_vnd_NEE_Dbiar.txt (1063 bp) REC:1000	471	   0: N/A
v3.74	Dec 16 20:36:54 2019	 x0	1000	0.429	CYC:  0 (k=0)	RND:	i  waves/animals/shark_vnd_NEE_Dsuzu.txt (1064 bp) REC:1000	456	   0: N/A
v3.74	Dec 16 20:36:55 2019	 x0	1000	0.391	CYC:  0 (k=0)	RND:	i waves/animals/shark_nab_DWME_Dmela.txt ( 764 bp) REC:1000	299	   0: N/A
v3.74	Dec 16 20:36:56 2019	 x0	1000	0.361	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-01-toslip.txt (  72 bp) REC:1000	 26	   1: bslip type 1
v3.74	Dec 16 20:36:56 2019	 x0	1000	0.364	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-02-toslip.txt (  66 bp) REC:1000	 24	   0: N/A
v3.74	Dec 16 20:36:57 2019	 x0	1000	0.574	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-03-tosSt1.txt (  61 bp) REC:1000	 35	   0: N/A
v3.74	Dec 16 20:36:57 2019	 x0	1000	0.408	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-04-tos-ct.txt (  71 bp) REC:1000	 29	   1: bslip type 1
v3.74	Dec 16 20:36:57 2019	 x0	1000	0.516	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-05-koshp1.txt (  62 bp) REC:1000	 32	   0: N/A
v3.74	Dec 16 20:36:57 2019	 x0	1000	0.449	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-06-koslip.txt ( 138 bp) REC:1000	 62	   0: N/A
v3.74	Dec 16 20:36:58 2019	 x0	1000	0.512	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-07-koslip.txt (  84 bp) REC:1000	 43	   1: bslip type 1
v3.74	Dec 16 20:36:58 2019	 x0	1000	0.370	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-08-koslp2.txt (  81 bp) REC:1000	 30	   0: N/A
v3.74	Dec 16 20:36:58 2019	 x0	1000	0.477	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-09-koslp3.txt (  65 bp) REC:1000	 31	   0: N/A
v3.74	Dec 16 20:36:59 2019	 x0	1000	0.443	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-10-cycle1.txt ( 106 bp) REC:1000	 47	   0: N/A
v3.74	Dec 16 20:36:59 2019	 x0	1000	0.415	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-11-cycle1.txt ( 159 bp) REC:1000	 66	   0: N/A
v3.74	Dec 16 20:36:59 2019	 x0	1000	0.418	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-12-cycle1.txt (  55 bp) REC:1000	 23	   0: N/A
v3.74	Dec 16 20:37:00 2019	 x0	1000	0.415	CYC:  1 (k=2)	RND:	i  waves/tubespit/tubespit-13-cycle2.txt ( 123 bp) REC:1000	 51	   0: N/A
v3.74	Dec 16 20:37:00 2019	 x0	1000	0.507	CYC:  4 (k=3)	RND:	i  waves/tubespit/tubespit-14-cycle3.txt ( 138 bp) REC:1000	 70	   0: N/A
v3.74	Dec 16 20:37:00 2019	 x0	1000	0.522	CYC:  1 (k=2)	RND:	i  waves/tubespit/tubespit-15-cycle4.txt ( 157 bp) REC:1000	 82	   1: bslip type 1
v3.74	Dec 16 20:37:00 2019	 x0	1000	0.279	CYC:  5 (k=3)	RND:	i  waves/tubespit/tubespit-16-cyc3_a.txt (  68 bp) REC:1000	 19	   0: N/A
v3.74	Dec 16 20:37:01 2019	 x0	1000	0.538	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-17-cycle5.txt (  39 bp) REC:1000	 21	   0: N/A
v3.74	Dec 16 20:37:01 2019	 x0	1000	0.486	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-18-koshp2.txt (  74 bp) REC:1000	 36	   0: N/A
v3.74	Dec 16 20:37:01 2019	 x0	1000	0.426	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-19-koslp4.txt (  68 bp) REC:1000	 29	   0: N/A
v3.74	Dec 16 20:37:02 2019	 x0	1000	0.416	CYC:  5 (k=3)	RND:	i  waves/tubespit/tubespit-20-cyc3_b.txt (  77 bp) REC:1000	 32	   0: N/A
v3.74	Dec 16 20:37:02 2019	 x0	1000	0.284	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-21-cyc3_c.txt (  95 bp) REC:1000	 27	   0: N/A
v3.74	Dec 16 20:37:02 2019	 x0	1000	0.538	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-22-tosSt2.txt (  65 bp) REC:1000	 35	   0: N/A
v3.74	Dec 16 20:37:03 2019	 x0	1000	0.476	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-23-tosSt2.txt (  84 bp) REC:1000	 40	   0: N/A
v3.74	Dec 16 20:37:03 2019	 x0	1000	0.330	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-24-tosSt2.txt ( 100 bp) REC:1000	 33	   0: N/A
v3.74	Dec 16 20:37:03 2019	 x0	1000	0.364	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-25-tosSt2.txt ( 195 bp) REC:1000	 71	   0: N/A
v3.74	Dec 16 20:37:03 2019	 x0	1000	0.357	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-26-tosSt2.txt ( 400 bp) REC:1000	143	   0: N/A
v3.74	Dec 16 20:37:04 2019	 x0	1000	0.425	CYC:  1 (k=2)	RND:	i  waves/tubespit/tubespit-27-cycleX.txt ( 400 bp) REC:1000	170	   0: N/A
v3.74	Dec 16 20:37:04 2019	 x0	1000	0.308	CYC:  4 (k=3)	RND:	i  waves/tubespit/tubespit-28-scrtch.txt (  52 bp) REC:1000	 16	   0: N/A
v3.74	Dec 16 20:37:05 2019	 x0	 920	0.439	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-29-toslp2.txt (  57 bp) REC: 964	 25	   1: bslip type 1
v3.74	Dec 16 20:37:05 2019	 x0	1000	0.500	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-30-toslp2.txt (  56 bp) REC:1000	 28	   1: bslip type 1
v3.74	Dec 16 20:37:05 2019	 x0	1000	0.297	CYC:  1 (k=2)	RND:	i  waves/tubespit/tubespit-31-t0edge.txt (  37 bp) REC:1000	 11	   0: N/A
v3.74	Dec 16 20:37:06 2019	 x0	1000	0.423	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-32-combo1.txt ( 265 bp) REC:1000	112	   0: N/A
v3.74	Dec 16 20:37:06 2019	 x0	1000	0.576	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-33-imprf1.txt (  66 bp) REC:1000	 38	   0: N/A
v3.74	Dec 16 20:37:06 2019	 x0	1000	0.582	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-34-imprf2.txt (  67 bp) REC:1000	 39	   0: N/A
v3.74	Dec 16 20:37:06 2019	 x0	1000	0.603	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-35-imprf3.txt (  58 bp) REC:1000	 35	   0: N/A
v3.74	Dec 16 20:37:07 2019	 x0	1000	0.530	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-36-imprf4.txt (  83 bp) REC:1000	 44	   0: N/A
v3.74	Dec 16 20:37:07 2019	 x0	1000	0.473	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-37-imprfk.txt (  93 bp) REC:1000	 44	   0: N/A
v3.74	Dec 16 20:37:07 2019	 x0	1000	0.456	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-38-imprft.txt ( 103 bp) REC:1000	 47	   0: N/A
v3.74	Dec 16 20:37:07 2019	 x0	1000	0.466	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-39-imprfk.txt ( 118 bp) REC:1000	 55	   1: bslip type 1
v3.74	Dec 16 20:37:08 2019	 x0	1000	0.404	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-40-imprfk.txt ( 104 bp) REC:1000	 42	   0: N/A
v3.74	Dec 16 20:37:08 2019	 x0	1000	0.667	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-41-RNAnuc.txt (  42 nt) REC:1000	 28	   0: N/A
v3.74	Dec 16 20:37:08 2019	 x0	1000	0.524	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-41-notRNA.txt (  42 ch) REC:1000	 22	   0: N/A
v3.74	Dec 16 20:37:09 2019	 x0	1000	0.856	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-41-protin.txt ( 312 aa) REC:1000	267	   0: N/A
v3.74	Dec 16 20:37:09 2019	 x0	1000	0.400	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-42-fasta1.txt ( 140 bp) REC:1000	 56	   0: N/A
v3.74	Dec 16 20:37:09 2019	 x0	1000	0.856	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-42-fasta2.txt ( 312 aa) REC:1000	267	   0: N/A
v3.74	Dec 16 20:37:09 2019	 x0	1000	0.559	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-43-timprf.txt (  34 bp) REC:1000	 19	   0: N/A
v3.74	Dec 16 20:37:10 2019	 x0	1000	0.364	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-44-tosimp.txt (  88 bp) REC:1000	 32	   0: N/A
v3.74	Dec 16 20:37:10 2019	 x0	1000	0.575	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-45-cinky1.txt ( 134 bp) REC:1000	 77	   0: N/A
v3.74	Dec 16 20:37:10 2019	 x0	1000	0.412	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-46-cinky2.txt ( 182 bp) REC:1000	 75	   0: N/A
v3.74	Dec 16 20:37:11 2019	 x0	1000	0.350	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-47-cycle6.txt (  40 bp) REC:1000	 14	   0: N/A
v3.74	Dec 16 20:37:11 2019	 x0	1000	0.344	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-48-tbdslp.txt ( 122 bp) REC:1000	 42	   1: bslip type 1
v3.74	Dec 16 20:37:11 2019	 x0	1000	0.434	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-49-cyctip.txt ( 800 bp) REC:1000	347	   0: N/A
v3.74	Dec 16 20:37:12 2019	 x0	1000	0.501	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-50-cyctip.txt ( 800 bp) REC:1000	401	   0: N/A
v3.74	Dec 16 20:37:13 2019	 x0	1000	0.346	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-51-cyctip.txt ( 800 bp) REC:1000	277	   0: N/A
v3.74	Dec 16 20:37:14 2019	 x0	1000	0.415	CYC:  1 (k=2)	RND:	i  waves/tubespit/tubespit-52-cyctip.txt ( 800 bp) REC:1000	332	   0: N/A
v3.74	Dec 16 20:37:14 2019	 x0	1000	0.420	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-53-impkhp.txt ( 800 bp) REC:1000	336	   0: N/A
v3.74	Dec 16 20:37:15 2019	 x0	1000	0.368	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-54-impkhp.txt ( 800 bp) REC:1000	294	   0: N/A
v3.74	Dec 16 20:37:16 2019	 x0	1000	0.461	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-55-impkhp.txt ( 800 bp) REC:1000	369	   0: N/A
v3.74	Dec 16 20:37:17 2019	 x0	1000	0.411	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-56-tbslp2.txt ( 800 bp) REC:1000	329	   1: bslip type 4
v3.74	Dec 16 20:37:18 2019	 x0	1000	0.350	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-57-tbslp2.txt ( 800 bp) REC:1000	280	   0: N/A
v3.74	Dec 16 20:37:19 2019	 x0	1000	0.423	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-58-tcycle.txt ( 800 bp) REC:1000	338	   0: N/A
v3.74	Dec 16 20:37:20 2019	 x0	1000	0.452	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-59-tcycle.txt ( 800 bp) REC:1000	362	   0: N/A
v3.74	Dec 16 20:37:21 2019	 x0	1000	0.439	CYC:  4 (k=3)	RND:	i  waves/tubespit/tubespit-60-tbslp2.txt ( 800 bp) REC:1000	351	   0: N/A
v3.74	Dec 16 20:37:22 2019	 x0	1000	0.399	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-61-tghost.txt ( 800 bp) REC:1000	319	   0: N/A
v3.74	Dec 16 20:37:23 2019	 x0	1000	0.430	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-62-tuckup.txt ( 100 bp) REC:1000	 43	   0: N/A
v3.74	Dec 16 20:37:24 2019	 x0	1000	0.380	CYC:  3 (k=3)	RND:	i  waves/tubespit/tubespit-63-cnudge.txt ( 100 bp) REC:1000	 38	   0: N/A
v3.74	Dec 16 20:37:24 2019	 x0	1000	0.450	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-64-sndge0.txt ( 100 bp) REC:1000	 45	   0: N/A
v3.74	Dec 16 20:37:24 2019	 x0	1000	0.470	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-64-sndge1.txt ( 100 bp) REC:1000	 47	   0: N/A
v3.74	Dec 16 20:37:24 2019	 x0	1000	0.360	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-64-sndge2.txt ( 100 bp) REC:1000	 36	   0: N/A
v3.74	Dec 16 20:37:25 2019	 x0	1000	0.430	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-64-sndge3.txt ( 100 bp) REC:1000	 43	   0: N/A
v3.74	Dec 16 20:37:25 2019	 x0	1000	0.400	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-64-sndge4.txt ( 100 bp) REC:1000	 40	   0: N/A
v3.74	Dec 16 20:37:25 2019	 x0	1000	0.380	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-64-sndge5.txt ( 100 bp) REC:1000	 38	   0: N/A
v3.74	Dec 16 20:37:26 2019	 x0	1000	0.430	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-64-sndge6.txt ( 100 bp) REC:1000	 43	   0: N/A
v3.74	Dec 16 20:37:26 2019	 x0	1000	0.420	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-64-sndge7.txt ( 100 bp) REC:1000	 42	   0: N/A
v3.74	Dec 16 20:37:26 2019	 x0	1000	0.530	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-64-sndge8.txt ( 100 bp) REC:1000	 53	   0: N/A
v3.74	Dec 16 20:37:26 2019	 x0	1000	0.340	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-64-sndge9.txt ( 100 bp) REC:1000	 34	   0: N/A
v3.74	Dec 16 20:37:27 2019	 x0	1000	0.350	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-65-consen.txt ( 100 bp) REC:1000	 35	   1: bslip type 5
v3.74	Dec 16 20:37:27 2019	 x0	1000	0.290	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-66-consen.txt ( 100 bp) REC:1000	 29	   0: N/A
v3.74	Dec 16 20:37:27 2019	 x0	1000	0.340	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-67-bslclr.txt ( 100 bp) REC:1000	 34	   1: bslip type 1
v3.74	Dec 16 20:37:28 2019	 x0	1000	0.400	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-68-dRaggd.txt ( 100 bp) REC:1000	 40	   0: N/A
v3.74	Dec 16 20:37:28 2019	 x0	1000	0.470	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-69-ktrans.txt ( 100 bp) REC:1000	 47	   0: N/A
v3.74	Dec 16 20:37:28 2019	 x0	1000	0.420	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-70-ktrans.txt ( 100 bp) REC:1000	 42	   0: N/A
v3.74	Dec 16 20:37:28 2019	 x0	1000	0.390	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-71-ktrans.txt ( 100 bp) REC:1000	 39	   0: N/A
v3.74	Dec 16 20:37:29 2019	 x0	1000	0.340	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-72-ktrans.txt ( 100 bp) REC:1000	 34	   0: N/A
v3.74	Dec 16 20:37:29 2019	 x0	1000	0.460	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-73-ktrans.txt ( 100 bp) REC:1000	 46	   0: N/A
v3.74	Dec 16 20:37:29 2019	 x0	1000	0.450	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-74-ktrans.txt ( 100 bp) REC:1000	 45	   0: N/A
v3.74	Dec 16 20:37:30 2019	 x0	1000	0.360	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-75-ktrans.txt ( 100 bp) REC:1000	 36	   0: N/A
v3.74	Dec 16 20:37:30 2019	 x0	1000	0.410	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-76-ktrans.txt ( 100 bp) REC:1000	 41	   0: N/A
v3.74	Dec 16 20:37:30 2019	 x0	1000	0.460	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-77-ktrans.txt ( 100 bp) REC:1000	 46	   0: N/A
v3.74	Dec 16 20:37:30 2019	 x0	1000	0.420	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-78-ktrans.txt ( 100 bp) REC:1000	 42	   0: N/A
v3.74	Dec 16 20:37:31 2019	 x0	1000	0.500	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-79-kcheck.txt ( 100 bp) REC:1000	 50	   0: N/A
v3.74	Dec 16 20:37:31 2019	 x0	1000	0.410	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-80-kcheck.txt ( 100 bp) REC:1000	 41	   0: N/A
v3.74	Dec 16 20:37:31 2019	 x0	1000	0.380	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-81-kcheck.txt ( 100 bp) REC:1000	 38	   0: N/A
v3.74	Dec 16 20:37:32 2019	 x0	1000	0.530	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-82-kcheck.txt ( 100 bp) REC:1000	 53	   0: N/A
v3.74	Dec 16 20:37:32 2019	 x0	1000	0.380	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-83-shadow.txt ( 100 bp) REC:1000	 38	   0: N/A
v3.74	Dec 16 20:37:32 2019	 x0	1000	0.510	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-84-shadow.txt ( 100 bp) REC:1000	 51	   1: bslip type 1
v3.74	Dec 16 20:37:32 2019	 x0	1000	0.430	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-85-adjDTH.txt ( 100 bp) REC:1000	 43	   0: N/A
v3.74	Dec 16 20:37:33 2019	 x0	1000	0.450	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-86-adjDTH.txt ( 100 bp) REC:1000	 45	   0: N/A
v3.74	Dec 16 20:37:33 2019	 x0	1000	0.440	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-87-adjDTH.txt ( 100 bp) REC:1000	 44	   0: N/A
v3.74	Dec 16 20:37:33 2019	 x0	1000	0.500	CYC:  2 (k=3)	RND:	i  waves/tubespit/tubespit-88-ndgLst.txt (  16 bp) REC:1000	  8	   0: N/A
v3.74	Dec 16 20:37:33 2019	 x0	1000	0.350	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-89-ktrans.txt ( 100 bp) REC:1000	 35	   0: N/A
v3.74	Dec 16 20:37:34 2019	 x0	1000	0.600	CYC:  5 (k=3)	RND:	i    waves/tubespit/tubespit_v327_52.txt ( 100 bp) REC:1000	 60	   0: N/A
v3.74	Dec 16 20:37:34 2019	 x0	1000	0.460	CYC:  5 (k=3)	RND:	i    waves/tubespit/tubespit_v343_01.txt ( 100 bp) REC:1000	 46	   0: N/A
v3.74	Dec 16 20:37:34 2019	 x0	1000	0.530	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_02.txt ( 100 bp) REC:1000	 53	   1: bslip type 1
v3.74	Dec 16 20:37:35 2019	 x0	1000	0.320	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_03.txt ( 100 bp) REC:1000	 32	   0: N/A
v3.74	Dec 16 20:37:35 2019	 x0	1000	0.470	CYC:  5 (k=3)	RND:	i    waves/tubespit/tubespit_v343_04.txt ( 100 bp) REC:1000	 47	   0: N/A
v3.74	Dec 16 20:37:35 2019	 x0	1000	0.460	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_05.txt ( 100 bp) REC:1000	 46	   0: N/A
v3.74	Dec 16 20:37:36 2019	 x0	1000	0.470	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_06.txt ( 100 bp) REC:1000	 47	   1: bslip type 5
v3.74	Dec 16 20:37:36 2019	 x0	1000	0.450	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_07.txt ( 100 bp) REC:1000	 45	   1: bslip type 1
v3.74	Dec 16 20:37:36 2019	 x0	1000	0.360	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_08.txt ( 100 bp) REC:1000	 36	   0: N/A
v3.74	Dec 16 20:37:36 2019	 x0	1000	0.290	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_09.txt ( 100 bp) REC:1000	 29	   0: N/A
v3.74	Dec 16 20:37:37 2019	 x0	1000	0.280	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_10.txt ( 100 bp) REC:1000	 28	   0: N/A
v3.74	Dec 16 20:37:37 2019	 x0	1000	0.330	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_11.txt ( 100 bp) REC:1000	 33	   0: N/A
v3.74	Dec 16 20:37:37 2019	 x0	1000	0.470	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_12.txt ( 100 bp) REC:1000	 47	   1: bslip type 1
v3.74	Dec 16 20:37:38 2019	 x0	1000	0.400	CYC:  3 (k=3)	RND:	i    waves/tubespit/tubespit_v343_13.txt ( 100 bp) REC:1000	 40	   0: N/A
v3.74	Dec 16 20:37:38 2019	 x0	1000	0.330	CYC:  2 (k=3)	RND:	i    waves/tubespit/tubespit_v343_14.txt ( 100 bp) REC:1000	 33	   0: N/A
v3.74	Dec 16 20:37:38 2019	 x0	1000	0.420	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_17.txt ( 100 bp) REC:1000	 42	   1: bslip type 1
v3.74	Dec 16 20:37:39 2019	 x0	1000	0.490	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_18.txt ( 100 bp) REC:1000	 49	   0: N/A
v3.74	Dec 16 20:37:39 2019	 x0	1000	0.420	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_19.txt ( 100 bp) REC:1000	 42	   0: N/A
